Season , Episode , Title                               , Parts (if any)   ,"Part (0 - one part, 1 - one of two, 2 - two of two)","Part (0 - one part, 1 - one of two, 2 - two of two)", Doctor      , Note,The Essentials,The Face of Boe,The Doctor Donna,River Song,The Girl Who Waited,The Impossible Girl
1,1, Rose                                ,1,0,0, 9th Doctor, ,,,,,,
1,2, The End Of The World                ,1,0,0, 9th Doctor, ,,,,,,
1,3, The Unquiet Dead                    ,1,0,0, 9th Doctor, ,,,,,,
1,4, Aliens Of London                    , 1 - (Part One)   ,1,1, 9th Doctor, ,,,,,,
1,5, World War Three                     , 1 - (Part Two)   ,2,2, 9th Doctor, ,,,,,,
1,6, Dalek                               ,1,0,0, 9th Doctor, ,,,,,,
1,7, The Long Game                       ,1,0,0, 9th Doctor, ,,,,,,
1,8, Father's Day                        ,1,0,0, 9th Doctor, ,,,,,,
1,9, The Empty Child                     , 1 - (Part One)   ,1,1, 9th Doctor, ,,,,,,
1,10, The Doctor Dances                   , 1 - (Part Two)   ,2,2, 9th Doctor, ,,,,,,
1,11, Boom Town                           ,1,0,0, 9th Doctor, ,,,,,,
1,12, Bad Wolf                            , 1 - (Part One)   ,1,1, 9th Doctor, ,,,,,,
1,13, The Parting Of The Ways             , 1 - (Part Two)   ,2,2, 9th Doctor, ,,,,,,
2,0, The Christmas Invasion              ,1,0,0, 10th Doctor, ,,,,,,
2,1, New Earth                           ,1,0,0, 10th Doctor, ,,,,,,
2,2, Tooth and Claw                      ,1,0,0, 10th Doctor, ,,,,,,
2,3, School Reunion                      ,1,0,0, 10th Doctor, ,,,,,,
2,4, The Girl in the Fireplace           ,1,0,0, 10th Doctor, ,,,,,,
2,5, Rise of the Cybermen                , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
2,6, The Age of Steel                    , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
2,7, The Idiot's Lantern                 ,1,0,0, 10th Doctor, ,,,,,,
2,8, The Impossible Planet               , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
2,9, The Satan Pit                       , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
2,10, Love & Monsters                     ,1,0,0, 10th Doctor, ,,,,,,
2,11, Fear Her                            ,1,0,0, 10th Doctor, ,,,,,,
2,12, Army of Ghosts                      , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
2,13, Doomsday                            , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
3,0, The Runaway Bride                   ,1,0,0, 10th Doctor , Christmas Special,,,,,,
3,1, Smith and Jones                     ,1,0,0, 10th Doctor, ,,,,,,
3,2, The Shakespeare Code                ,1,0,0, 10th Doctor, ,,,,,,
3,3, Gridlock                            ,1,0,0, 10th Doctor, ,,,,,,
3,4, Daleks in Manhattan                 , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
3,5, Evolution of the Daleks             , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
3,6, The Lazarus Experiment              ,1,0,0, 10th Doctor, ,,,,,,
3,7,42,1,0,0, 10th Doctor, ,,,,,,
3,8, Human Nature                        , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
3,9, The Family of Blood                 , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
3,10, Blink                               ,1,0,0, 10th Doctor, ,,,,,,
3,11, Utopia                              , 1 - (Part One)   ,1,1, 10th Doctor, ,,,,,,
3,12, The Sound of Drums                  , 1 - (Part Two)   ,2,2, 10th Doctor, ,,,,,,
3,13, The Last of the Time Lords          , 1 - (Part Three) ,3,3, 10th Doctor, ,,,,,,
4,0, Voyage of the Damned                ,1,0,0, 10th Doctor , Christmas Special,,,,,,
4,1, Partners in Crime                   ,1,0,0, 10th Doctor, ,,,,,,
4,2, The Fires of Pompeii                ,1,0,0, 10th Doctor, ,,,,,,
4,3, Planet of the Ood                   ,1,0,0, 10th Doctor, ,,,,,,
